,year,name,sales,saleschange,units,unitschange,segment,menu_category
0,2019,mcdonalds,"$38,524",2.4%,"13,914",-0.9%,Quick Service,Burger
1,2019,starbucks,"$19,660*",8.3%,"14,606",4.9%,Quick Service,Coffee Cafe
2,2019,subway,"$10,410",-3.6%,"24,798",-4.3%,Quick Service,Sandwich
3,2019,taco-bell,"$10,360",5.8%,"6,588",2.2%,Quick Service,Mexican
4,2019,chick-fil,"$10,180*",13.5%,"2,370",6.5%,Quick Service,Chicken
5,2019,burger-king,"$9,939",3.3%,"7,330",1.4%,Quick Service,Burger
6,2019,wendys,"$9,405",1.9%,"5,810",0.7%,Quick Service,Burger
7,2019,dunkin,"$8,786",3.9%,"9,419",3.0%,Quick Service,Coffee Cafe
8,2019,dominos,"$6,591",11.2%,"5,876",5.2%,Quick Service,Pizza
9,2019,panera-bread,"$5,760*",4.7%,"2,074",1.5%,Fast Casual,Bakery Cafe
10,2019,pizza-hut,"$5,526",0.3%,"7,482",-0.5%,Quick Service,Pizza
11,2019,chipotle-mexican-grill,"$4,805",8.7%,"2,452",3.7%,Fast Casual,Mexican
12,2019,sonic-drive,"$4,447",0.9%,"3,606",0.4%,Quick Service,Burger
13,2019,kfc,"$4,433",0.4%,"4,074",-0.9%,Quick Service,Chicken
14,2019,applebees,"$4,211",2.3%,"1,693",-5.0%,Casual Dining,Varied Menu
15,2019,olive-garden,"$4,082",3.7%,855,1.2%,Casual Dining,Italian/Pizza
16,2019,arbys,"$3,886",7.0%,"3,329",1.4%,Quick Service,Sandwich
17,2019,little-caesars,"$3,820*",3.5%,"4,350",0.4%,Quick Service,Pizza
18,2019,buffalo-wild-wings,"$3,795",-1.0%,"1,208",0.2%,Casual Dining,Sports Bar
19,2019,dairy-queen,"$3,654",0.3%,"4,406",-1.1%,Quick Service,Frozen Desserts
20,2018,mcdonalds,"$37,639",3.4%,"14,036",-0.8%,Quick Service,Burger
21,2018,starbucks,"$17,650*",7.0%,"13,930",5.8%,Quick Service,Coffee Cafe
22,2018,subway,"$10,800",-4.4%,"25,908",-3.1%,Quick Service,Sandwich
23,2018,taco-bell,"$9,790",4.7%,"6,446",2.7%,Quick Service,Mexican
24,2018,burger-king,"$9,645*",3.5%,"7,226",1.0%,Quick Service,Burger
25,2018,wendys,"$9,310",3.0%,"5,769",0.5%,Quick Service,Burger
26,2018,chick-fil,"$9,020",14.2%,"2,261",7.6%,Quick Service,Chicken
27,2018,dunkin-donuts,"$8,458",2.8%,"9,141",3.5%,Quick Service,Coffee Cafe
28,2018,dominos,"$5,925",11.1%,"5,587",4.0%,Quick Service,Pizza
29,2018,pizza-hut,"$5,510",-4.2%,"7,522",-2.2%,Quick Service,Pizza
30,2018,panera-bread,"$5,465*",6.5%,"2,050",1.6%,Fast Casual,Bakery Cafe
31,2018,kfc,"$4,417",-1.5%,"4,109",-1.4%,Quick Service,Chicken
32,2018,chipotle-mexican-grill,"$4,415",14.6%,"2,364",7.6%,Fast Casual,Mexican
33,2018,sonic-drive,"$4,408",-2.4%,"3,593",1.0%,Quick Service,Burger
34,2018,applebees,"$4,117",-6.8%,"1,782",-4.0%,Casual Dining,Varied Menu
