,address,city,name,rating,review_count
0,2500 E Colfax Ave,Denver,Chipotle Mexican Grill,2.0,60
0,550 N Broadway,Denver,Chipotle Mexican Grill,2.5,61
0,1600 California St,Denver,Chipotle Mexican Grill,3.0,53
0,140 Steele St,Denver,Chipotle Mexican Grill,3.5,35
0,745 Colorado Blvd,Denver,Chipotle Mexican Grill,3.0,44
0,371 E Alameda Ave,Denver,Chipotle Mexican Grill,3.0,38
0,1480 16th St,Denver,Chipotle Mexican Grill,3.5,45
0,820 S Monaco Pkwy,Denver,Chipotle Mexican Grill,2.5,28
0,3600 W 32nd Ave,Denver,Chipotle Mexican Grill,3.0,50
0,1644 E Evans Ave,Denver,Chipotle Mexican Grill,3.5,85
0,7400 E 29th Ave,Denver,Chipotle Mexican Grill,2.5,74
0,2760 S Colorado Blvd,Denver,Chipotle Mexican Grill,3.0,62
0,7350 E Hampden Ave,Denver,Chipotle Mexican Grill,4.0,29
0,4490 Peoria St,Denver,Chipotle Mexican Grill,2.5,13
0,8100 W Crestline Ave,Denver,Chipotle Mexican Grill,3.0,33
0,3555 Quebec St,Denver,Sonic Drive-In,2.0,40
0,2611 S Broadway,Denver,Sonic Drive-In,1.5,89
0,1300 Ssouth Sheridian Blvd,Denver,Sonic Drive-In,1.5,55
0,7739 E Iliff Ave,Denver,Sonic Drive-In,2.0,67
0,4403 S Tamarac Pkwy,Denver,Sonic Drive-In,2.0,36
0,4305 Chambers Rd,Denver,Sonic Drive-In,2.0,32
0,4671 North Tower Rd,Denver,Sonic Drive-In,2.5,3
0,2815 Colorado Blvd,Denver,KFC,1.0,23
0,302 S Colorado Blvd,Denver,KFC,2.0,33
0,1679 Federal Blvd,Denver,KFC,1.5,14
0,2096 S Colorado Blvd,Denver,KFC,2.5,35
0,7140 Pecos St,Denver,KFC,1.5,15
0,3110 S Sheridan,Denver,KFC,2.0,6
0,15495 E Andrews Dr,Denver,KFC,1.5,17
0,4880 N Tower Rd,Denver,KFC,2.5,5
0,8314 E Northfield Blvd,Denver,Olive Garden Italian Restaurant,3.5,122
0,1480 S Colorado Blvd,Denver,Arby's,2.5,21
0,3740 Quebec St,Denver,Arby's,2.5,6
0,4363 Sheridan Blvd,Denver,Arby's,2.5,9
0,2260 S Parker Rd,Denver,Arby's,2.5,8
0,4390 N Peoria St,Denver,Arby's,2.0,4
0,8850 E Hampden Ave,Denver,Arby's,3.0,11
0,501 E 84th Ave,Denver,Arby's,2.0,9
0,3903 E 120th Ave,Denver,Arby's,2.5,14
0,757 E 20th Ave,Denver,Little Caesars,2.5,32
0,9190 Pecos St,Denver,Little Caesars,2.5,12
0,7607 E 36th Ave,Denver,Buffalo Wild Wings,2.0,273
0,2905 W Alameda Ave,Denver,Dairy Queen,1.5,20
0,7601 E Colfax Ave,Denver,Dairy Queen,3.0,13
0,2205 S Broadway,Denver,Dairy Queen,3.5,10
0,3833 W 38th Ave,Denver,Dairy Queen,2.5,17
0,4502 Mckinney Ave,Dallas,Chipotle Mexican Grill,3.0,45
0,4330 Lemmon Ave,Dallas,Chipotle Mexican Grill,3.0,109
0,7700 N Central Expy,Dallas,Chipotle Mexican Grill,3.5,85
0,8687 N Central Expy,Dallas,Chipotle Mexican Grill,2.0,38
0,2427 W Mockingbird Ln,Dallas,Chipotle Mexican Grill,2.0,24
0,2705 Mckinney Ave,Dallas,Chipotle Mexican Grill,2.5,78
0,2201 Abrams Rd,Dallas,Chipotle Mexican Grill,3.0,60
0,6471 E Northwest Hwy,Dallas,Chipotle Mexican Grill,2.5,12
0,3701 W Northwest Hwy,Dallas,Chipotle Mexican Grill,2.5,13
0,11930 Preston Rd,Dallas,Chipotle Mexican Grill,2.5,34
0,11613 N Central Expy,Dallas,Chipotle Mexican Grill,3.0,90
0,12747 Midway Rd,Dallas,Chipotle Mexican Grill,2.0,14
0,14715 Coit Rd,Dallas,Chipotle Mexican Grill,3.5,42
0,5290 Belt Line Rd,Dallas,Chipotle Mexican Grill,2.5,94
0,18152 Preston Rd,Dallas,Chipotle Mexican Grill,2.5,38
0,39779 Lbj Fwy,Dallas,Chipotle Mexican Grill,4.5,3
0,3023 Inwood Rd,Dallas,Sonic Drive-In,2.0,65
0,8687 N Central Exprwy,Dallas,Sonic Drive-In,3.0,6
0,4801 Ross Ave,Dallas,Sonic Drive-In,1.5,51
0,7071 Greenville Ave,Dallas,Sonic Drive-In,2.5,23
0,1330 Empire Central Dr,Dallas,Sonic Drive-In,2.0,19
0,2927 Lombardy Ln,Dallas,Sonic Drive-In,2.0,4
0,1005 S Riverfront,Dallas,Sonic Drive-In,2.0,7
0,8045 Forest Ln,Dallas,Sonic Drive-In,2.5,20
0,12130 Inwood Rd,Dallas,Sonic Drive-In,2.5,18
0,9119 Garland Rd,Dallas,Sonic Drive-In,1.5,33
0,3555 Forest Ln,Dallas,Sonic Drive-In,1.5,36
0,10709 Audelia Rd,Dallas,Sonic Drive-In,1.5,17
0,9609 Plano Rd,Dallas,Sonic Drive-In,2.5,8
0,2516 Fort Worth Ave,Dallas,Sonic Drive-In,2.0,13
0,2945 Buckner Blvd,Dallas,Sonic Drive-In,1.5,11
0,1714 N Cockrell Hill Rd,Dallas,Sonic Drive-In,2.0,15
0,8620 Spring Valley Rd,Dallas,Sonic Drive-In,2.0,16
0,11921 E Nw Hwy,Dallas,Sonic Drive-In,1.5,5
0,15205 Monfort Dr,Dallas,Sonic Drive-In,1.5,75
0,2412 S Zangs,Dallas,Sonic Drive-In,2.0,13
0,3710 W Illinois Ave,Dallas,Sonic Drive-In,2.5,6
0,8126 Lake June Rd,Dallas,Sonic Drive-In,1.0,13
0,2429 W Ledbetter Dr,Dallas,Sonic Drive-In,2.0,4
0,3650 Frankford Rd,Dallas,Sonic Drive-In,1.5,91
